advertiser_id,month,engagement_score,performance_score,retention_risk,nps_score
ADV-001,2026-01-01,77.7,92.2,low,55
ADV-001,2026-01-01,84.1,98.1,low,86
ADV-001,2026-03-01,80.4,83.4,low,51
ADV-001,2026-04-01,78.2,87.7,low,70
ADV-001,2026-05-01,77.9,96.8,low,45
ADV-001,2026-05-01,84.3,78.6,low,61
ADV-002,2026-01-01,53.6,56.5,medium,49
ADV-002,2026-01-01,64.2,60.6,medium,46
ADV-002,2026-03-01,51.8,62.9,medium,48
ADV-002,2026-04-01,51.7,46.0,high,52
ADV-002,2026-05-01,66.5,54.2,medium,17
ADV-002,2026-05-01,57.2,61.6,medium,61
ADV-003,2026-01-01,87.8,74.8,low,31
ADV-003,2026-01-01,73.5,65.9,medium,31
ADV-003,2026-03-01,79.9,63.0,low,22
ADV-003,2026-04-01,86.2,72.1,low,74
ADV-003,2026-05-01,78.2,60.3,medium,58
ADV-003,2026-05-01,83.6,74.7,low,43
ADV-004,2026-01-01,65.5,67.9,medium,73
ADV-004,2026-01-01,72.3,74.4,low,23
ADV-004,2026-03-01,62.1,78.7,low,45
ADV-004,2026-04-01,60.4,67.8,medium,46
ADV-004,2026-05-01,68.1,73.3,low,62
ADV-004,2026-05-01,73.0,75.7,low,62
ADV-005,2026-01-01,72.3,48.6,medium,26
ADV-005,2026-01-01,88.5,64.4,low,82
ADV-005,2026-03-01,80.2,62.9,low,33
ADV-005,2026-04-01,86.7,47.7,medium,61
ADV-005,2026-05-01,83.3,59.6,low,64
ADV-005,2026-05-01,81.0,56.4,medium,78
ADV-006,2026-01-01,77.9,85.6,low,51
ADV-006,2026-01-01,73.6,88.5,low,48
ADV-006,2026-03-01,67.4,78.9,low,54
ADV-006,2026-04-01,72.2,83.7,low,83
ADV-006,2026-05-01,79.4,69.5,low,82
ADV-006,2026-05-01,73.4,77.5,low,25
ADV-007,2026-01-01,81.3,72.9,low,74
ADV-007,2026-01-01,68.2,70.5,medium,23
ADV-007,2026-03-01,82.1,60.7,low,42
ADV-007,2026-04-01,69.9,69.2,medium,25
ADV-007,2026-05-01,64.3,65.4,medium,15
ADV-007,2026-05-01,75.6,69.2,low,43
ADV-008,2026-01-01,88.9,72.8,low,83
ADV-008,2026-01-01,80.5,60.3,low,70
ADV-008,2026-03-01,84.2,55.1,medium,57
ADV-008,2026-04-01,91.8,68.9,low,70
ADV-008,2026-05-01,88.3,56.1,low,25
ADV-008,2026-05-01,97.8,61.2,low,85
ADV-009,2026-01-01,82.2,65.7,low,51
ADV-009,2026-01-01,80.8,59.5,low,47
ADV-009,2026-03-01,81.0,60.8,low,55
ADV-009,2026-04-01,80.7,64.3,low,47
ADV-009,2026-05-01,81.6,62.3,low,35
ADV-009,2026-05-01,97.0,63.0,low,69
ADV-010,2026-01-01,66.3,76.0,low,60
ADV-010,2026-01-01,52.4,71.5,medium,54
ADV-010,2026-03-01,66.0,67.5,medium,37
ADV-010,2026-04-01,62.1,60.6,medium,11
ADV-010,2026-05-01,62.3,59.8,medium,61
ADV-010,2026-05-01,67.2,76.5,low,29
ADV-011,2026-01-01,80.7,68.5,low,52
ADV-011,2026-01-01,76.0,56.7,medium,18
ADV-011,2026-03-01,73.5,60.2,medium,43
ADV-011,2026-04-01,82.6,67.0,low,46
ADV-011,2026-05-01,78.5,71.7,low,74
ADV-011,2026-05-01,75.2,63.4,medium,57
ADV-012,2026-01-01,62.2,69.6,medium,58
ADV-012,2026-01-01,64.9,62.7,medium,65
ADV-012,2026-03-01,78.7,75.1,low,53
ADV-012,2026-04-01,68.9,77.4,low,63
ADV-012,2026-05-01,80.2,73.6,low,47
ADV-012,2026-05-01,65.8,67.4,medium,60
ADV-013,2026-01-01,91.0,77.6,low,55
ADV-013,2026-01-01,96.7,74.4,low,45
ADV-013,2026-03-01,86.5,83.5,low,93
ADV-013,2026-04-01,85.2,70.4,low,27
ADV-013,2026-05-01,97.1,79.9,low,67
