doc_id,title,category,priority,date,content
INC-001,Pixel Firing Delay — Major Advertiser,tracking,critical,2026-05-15,Incident: StackAdapt universal pixel experiencing 3-5 second firing delays for ADV-005 across all campaigns. Root cause: Advertiser's tag management system (Google Tag Manager) had conflicting JavaScript execution order causing our pixel to load after page unload event. Impact: 15-20% conversion underreporting for 48 hours. Resolution: Worked with advertiser's web team to move pixel to direct implementation (bypass GTM) for critical conversion events. Added server-side pixel backup for redundancy. Prevention: Recommend server-side tracking for all Gold tier accounts to eliminate client-side dependencies.
INC-002,CTV Inventory Supply Disruption,delivery,high,2026-04-22,"Incident: CTV available inventory dropped 40% across premium publishers (Roku, Samsung TV Plus, Pluto TV) between 2:00 AM and 8:00 AM EST. Root cause: SSP partner (SpotX/Magnite) experienced authentication token refresh failure in their bid request pipeline. Impact: 12 campaigns missed daily delivery targets by 25-35%. No budget overspend. Resolution: SSP resolved token issue at 8:15 AM. We enabled catch-up pacing for affected campaigns (accelerated delivery for 6 hours). All campaigns recovered to within 5% of daily target by EOD. Prevention: Implementing multi-SSP redundancy for CTV — spreading supply across 3+ SSPs to reduce single-point-of-failure risk."
INC-003,Audience Segment Data Staleness,audience,medium,2026-03-10,"Incident: Third-party behavioral audience segments (Oracle/BlueKai source) not refreshing for 72 hours. Segment sizes appeared static and performance degraded 12% across campaigns using these segments. Root cause: Data partner API endpoint migration (scheduled but poorly communicated). Our ingestion pipeline failed silently on 404 errors without alerting. Impact: ~45 campaigns using Oracle segments experienced stale targeting. Conversion rates dropped 12% vs. expected. Resolution: Updated API endpoints, implemented freshness monitoring with 24-hour staleness alert threshold. Backfilled missing segment updates. Prevention: Added data freshness SLA monitoring for all third-party data partners. Alert triggers if any segment source is >24hr stale."
INC-004,Budget Overspend Alert — Multiple Accounts,pacing,critical,2026-06-01,"Incident: 8 campaigns across 5 advertisers overspent daily budgets by 30-180% on June 1st. Root cause: Day-of-month pacing reset combined with Memorial Day holiday traffic surge. The pacing algorithm reset monthly counters and treated June 1 as requiring accelerated catch-up (interpreting the fresh month as behind-pace). Impact: Total overspend of $12,400 across affected accounts. One Gold tier client flagged concern. Resolution: Credited overspend amounts to affected accounts. Hotfix deployed: pacing reset logic now checks for month-boundary condition and uses standard delivery for first 24 hours of new month. Prevention: Monthly pacing reset now includes 24-hour standard delivery buffer. Added hard daily cap (never exceed 150% of daily budget regardless of pacing strategy)."
INC-005,Viewability Score Calculation Error,measurement,high,2026-02-18,"Incident: Viewability rates reported 8-12 points higher than actual for display campaigns over a 5-day period. Root cause: MOAT integration update changed their API response format for in-view duration. Our parser was reading 'time_in_view_ms' as seconds instead of milliseconds, inflating viewability calculations. Impact: Reporting accuracy affected for 200+ campaigns. No financial impact (billing uses impressions, not viewable impressions). Client reports showed inflated viewability. Resolution: Fixed parsing logic, recalculated affected period, issued corrected reports to 15 accounts that received viewability-specific reporting during the window. Prevention: Added unit test validation for all measurement partner API responses. Implemented sanity check: flag if viewability jumps >5pts day-over-day."
INC-006,Creative Approval Queue Backlog,operations,medium,2026-04-05,"Incident: Creative approval queue reached 400+ pending reviews with average wait time of 18 hours (SLA: 4 hours). Root cause: Two factors: 1) Automated creative scanning system flagged 60% false positives on new native ad format, requiring manual review. 2) QA team was understaffed due to three simultaneous PTO requests. Impact: 25 campaigns had launch delays of 12-24 hours. Three advertisers escalated through account managers. Resolution: Temporarily reduced scanning sensitivity for native format (accepting known-good creative patterns). Called in backup QA team. Cleared backlog within 6 hours. Prevention: Implemented auto-approval for creative refreshes from known-good advertisers (Gold tier with >50 previously approved creatives). Added QA team coverage calendar with minimum staffing requirements."
INC-007,Cross-Device Graph Matching Rate Drop,audience,medium,2026-05-28,"Incident: Cross-device identity graph matching rate dropped from 72% to 45% over one week, reducing attributed conversions by approximately 20% across all multi-device campaigns. Root cause: Identity partner (LiveRamp) updated their privacy threshold, requiring higher confidence scores for cross-device links. This removed lower-confidence probabilistic matches from the graph. Impact: Conversion reporting understated for campaigns relying on cross-device attribution. No actual delivery impact. Resolution: Adjusted reporting to show both single-device and cross-device attributed conversions separately. Worked with LiveRamp to understand new thresholds and updated our expected matching rates. Prevention: Implemented multi-partner identity strategy (LiveRamp + UID2.0 + first-party login graph) to reduce dependency on single provider."
INC-008,Revenue Reporting Discrepancy — Finance Audit,billing,critical,2026-03-31,"Incident: Q1 revenue reported in platform dashboard differed from finance system by $45,000 (0.3% variance). Root cause: Three factors: 1) Late-arriving conversion events (post-attribution window) being counted in campaign reports but not billing. 2) Currency conversion timing differences for EMEA accounts. 3) Two accounts had manual billing adjustments not reflected in platform totals. Impact: No client-facing impact. Internal reporting inconsistency flagged during quarter-close audit. Resolution: Implemented reconciliation process: platform revenue syncs with billing system daily with T+3 day final reconciliation. Created adjustment log visible in both systems. Prevention: Automated daily reconciliation check with alert if variance exceeds 0.1%. Standardized currency conversion to use daily close rates consistently."
INC-009,API Rate Limiting — Bulk Campaign Updates,operations,low,2026-04-12,"Incident: Large agency client (managing 300+ campaigns) hit API rate limits when attempting bulk budget updates, causing partial update failure. 45 of 300 campaigns didn't receive budget changes. Root cause: Client's automation tool sent all 300 update requests simultaneously. Our rate limiter (100 req/min per API key) rejected excess requests with 429 errors. Client's tool didn't implement retry logic. Impact: 45 campaigns ran with stale budgets for 4 hours until agency noticed and manually updated. No overspend (budgets were being increased, not decreased). Resolution: Provided agency with bulk update endpoint (single API call for multiple campaign changes). Updated rate limit error response to include Retry-After header. Prevention: Published rate limit documentation and best practices for bulk operations. Added bulk-update SDK method to client libraries."
INC-010,Native Ad Format Rendering Issue — iOS Safari,creative,high,2026-05-03,Incident: Native ad units rendering with broken layouts on iOS Safari 17.4+ (released April 28). Affected approximately 18% of native impression volume. Root cause: Safari 17.4 introduced stricter CSS containment rules. Our native ad template used CSS properties that were previously tolerated but now broke layout containment. Impact: Ads still displayed but with misaligned text and cropped images. CTR dropped 35% on affected placements. No billing impact (impressions still counted as served). Resolution: Updated native ad CSS templates to use modern containment-compliant layout. Deployed fix within 12 hours of identification. Performance recovered within 24 hours. Prevention: Added automated cross-browser rendering tests in CI/CD pipeline. Now test against Safari beta releases 2 weeks before stable launch.
