doc_id,title,category,priority,content
OPT-001,Native Ad Creative Best Practices,creative,high,"Native advertising performs best when creative elements blend seamlessly with surrounding content. Key guidelines: 1) Use editorial-style headlines that inform rather than sell. 2) Match image style to publisher content. 3) Include clear brand attribution. 4) Test multiple headline variations — we see 30-40% CTR improvement from headline optimization alone. 5) For StackAdapt campaigns, leverage dynamic creative optimization (DCO) to automatically test combinations. Recommended aspect ratios: 1200x627 for feed placements, 600x600 for social-style units."
OPT-002,CTV Campaign Setup & Optimization Guide,channel_strategy,high,"Connected TV campaigns require different optimization approaches than display. Setup: 1) Target minimum 15-second non-skippable spots for brand campaigns. 2) Use frequency capping at 3-5 exposures per household per week. 3) Layer contextual targeting with genre-level content alignment. Optimization: Monitor completion rates (target >90%), adjust dayparting based on viewing patterns (primetime 7-11pm typically 2x reach), and use cross-device attribution to track downstream conversions. Budget allocation: Start with 60% reach-optimized, 40% completion-optimized."
OPT-003,Retargeting Window Optimization,audience,medium,"Retargeting effectiveness decays exponentially with time since last engagement. Recommended windows by funnel stage: Site visitors (general) — 7-14 days for best ROAS; Product viewers — 3-7 days, these show strongest purchase intent; Cart abandoners — 1-3 days, use aggressive frequency (5-7/day) with discount messaging; Past purchasers — 30-60 days for cross-sell, 60-90 days for replenishment. Always exclude recent converters (7-day suppression minimum). For StackAdapt campaigns, use the recency decay bidding modifier to automatically decrease bids as the retargeting window ages."
OPT-004,Viewability Rate Improvement Playbook,delivery,high,Viewability directly impacts campaign effectiveness and client satisfaction. Current platform average: 68%. Target: >75%. Actions to improve: 1) Avoid below-the-fold inventory — use Above The Fold (ATF) targeting where available. 2) Prefer larger ad units (300x250 outperforms 728x90 by 15pts). 3) Implement pre-bid viewability filters at 60% threshold minimum. 4) Exclude low-viewability domains from your blocklist (review quarterly). 5) Use StackAdapt's predictive viewability scoring to bid higher on likely-viewable impressions. Impact: Every 10pt viewability increase correlates with 8-12% CTR improvement.
OPT-005,Audience Segment Layering Strategy,audience,medium,"Layering audience segments creates precision targeting but reduces scale. Best practices: Start broad (contextual + demographic), then narrow based on performance. Layer order: 1) Behavioral intent signals (highest value), 2) Demographic qualifiers, 3) Contextual alignment. Never layer more than 3 segments simultaneously — beyond this, reach drops below actionable levels. For lookalike audiences, use 1% seed for precision, 3-5% for scale. Combine first-party data with third-party behavioral signals for strongest performance. Monitor overlap rates between segments — >30% overlap means consolidation opportunity."
OPT-006,Budget Pacing & Delivery Optimization,delivery,high,"Proper budget pacing prevents overspend early in campaigns and underspend at end. Rules: 1) Use accelerated delivery only for time-sensitive campaigns (flash sales, events). 2) Standard pacing (even distribution) is default for all performance campaigns. 3) If a campaign is >15% behind pace by mid-flight, increase bids by 10-20% rather than switching to accelerated. 4) Set daily caps at 120% of ideal daily spend to allow for high-opportunity days while maintaining weekly budget. 5) For monthly budgets, allocate 40% to first half, 60% to second half (learning period optimization). Monitor hourly delivery curves for anomalies."
OPT-007,Cross-Device Attribution Setup,measurement,medium,"Cross-device attribution captures the full customer journey across smartphones, tablets, desktop, and CTV. Setup requirements: 1) Implement StackAdapt universal pixel on all advertiser pages. 2) Enable deterministic matching via hashed email where available. 3) Configure attribution windows: 24hr view-through, 7-day click-through for display; 14-day for CTV. 4) Use data-driven attribution (DDA) model for multi-touch campaigns rather than last-click. 5) Report on both assisted and last-touch conversions. Expected impact: Cross-device typically reveals 20-35% more conversions than single-device tracking."
OPT-008,Programmatic Video Completion Rate Guide,creative,medium,"Video completion rate (VCR) is the primary success metric for video campaigns. Benchmarks: 15s pre-roll >85%, 30s mid-roll >70%, 6s bumper >95%. Optimization tactics: 1) Front-load the brand message in first 5 seconds. 2) Use captions — 85% of mobile video is watched with sound off. 3) For longer formats (>15s), use storytelling arc: hook (0-3s), problem (3-8s), solution (8-12s), CTA (12-15s). 4) Implement VPAID vs VAST carefully — VPAID enables interactivity but reduces fill rate by 15-20%. 5) A/B test thumbnail frames — first frame is critical for autoplay environments."
OPT-009,Client Retention: Early Warning Signals,account_health,high,Client churn indicators appear 60-90 days before actual cancellation. Key signals to monitor: 1) Spend decline >20% month-over-month without seasonal explanation. 2) Campaign pause rate increasing — more than 3 campaigns paused in 30 days. 3) Platform login frequency dropping below 2x per week. 4) Support ticket volume increasing (frustration signal). 5) Contract renewal discussions starting late (within 30 days of expiry). 6) Performance degradation without advertiser action to optimize. Action plan: Trigger QBR (Quarterly Business Review) when 2+ signals detected. Assign senior AM for proactive outreach. Present optimization roadmap with guaranteed performance improvements.
OPT-010,Revenue Expansion Playbook: Upsell Strategies,account_health,high,"Top expansion opportunities by client tier: Gold tier — CTV channel expansion (avg 40% spend increase), programmatic guaranteed for premium inventory. Silver tier — add native channel (25-30% incremental), lookalike audience scaling. Bronze tier — upgrade to managed service (50-70% spend increase with AM support). Timing: Propose expansion after 2+ consecutive months of meeting/exceeding KPIs. Lead with data: show performance headroom, untapped audience segments, and competitor activity. Average expansion deal: $45K incremental annual spend. Close rate: 35% when data-led, 12% without performance proof."
