segment_id,name,category,estimated_reach,cost_per_thousand
SEG-001,Purchasers 90d v1,first_party,50000,2.45
SEG-002,Parents with Kids v1,demographic,500000,3.68
SEG-003,App Users Active v3,first_party,5000000,3.33
SEG-004,Parents with Kids v3,demographic,1000000,1.83
SEG-005,Brand Engagers LAL v1,lookalike,1000000,0.64
SEG-006,Health Enthusiasts v1,behavioral,1000000,2.22
SEG-007,Food & Recipes v1,contextual,50000,1.61
SEG-008,Email Engaged v1,first_party,250000,0.91
SEG-009,HHI $100K+ v2,demographic,10000000,3.91
SEG-010,Lifestyle & Fashion v2,contextual,250000,3.66
SEG-011,Technology Reviews v2,contextual,1000000,1.6
SEG-012,Health Enthusiasts v3,behavioral,500000,3.17
SEG-013,Online Shoppers v3,behavioral,5000000,3.29
SEG-014,HHI $100K+ v1,demographic,50000,1.3
SEG-015,Urban Professionals v2,demographic,100000,2.97
SEG-016,Top Converters LAL v2,lookalike,50000,2.05
SEG-017,Email Engaged v2,first_party,500000,0.89
SEG-018,In-Market Auto v2,behavioral,50000,1.21
SEG-019,Sports Content v1,contextual,5000000,2.28
SEG-020,Technology Reviews v3,contextual,1000000,1.24
SEG-021,Gen Z Shoppers v3,demographic,100000,1.96
SEG-022,HHI $100K+ v2,demographic,5000000,0.83
SEG-023,Business News v2,contextual,5000000,3.93
SEG-024,Urban Professionals v2,demographic,1000000,3.75
SEG-025,Parents with Kids v1,demographic,50000,0.78
