month,advertiser_id,media_spend,platform_fee,take_rate_pct,net_revenue
2026-01-01,ADV-001,16048.45,2654.41,16.54,2509.8
2026-01-01,ADV-001,15416.63,1859.25,12.06,1760.67
2026-03-01,ADV-001,16015.9,3445.02,21.51,3040.2
2026-04-01,ADV-001,16744.78,3238.44,19.34,3062.72
2026-05-01,ADV-001,15174.43,2141.11,14.11,1830.37
2026-05-01,ADV-001,15894.74,2420.77,15.23,2071.1
2026-01-01,ADV-002,29017.67,4587.69,15.81,4082.52
2026-01-01,ADV-002,17512.74,3791.51,21.65,3550.94
2026-03-01,ADV-002,16192.28,3322.66,20.52,2878.4
2026-04-01,ADV-002,26454.59,3928.51,14.85,3634.88
2026-05-01,ADV-002,24589.93,3248.33,13.21,2920.52
2026-05-01,ADV-002,21293.97,4271.57,20.06,3763.3
2026-01-01,ADV-003,25330.4,4726.65,18.66,4410.93
2026-01-01,ADV-003,33869.49,5723.94,16.9,5372.15
2026-03-01,ADV-003,33058.64,5828.24,17.63,5200.58
2026-04-01,ADV-003,39329.2,7909.1,20.11,7208.25
2026-05-01,ADV-003,32110.76,5221.21,16.26,4459.14
2026-05-01,ADV-003,30042.72,4999.11,16.64,4361.34
2026-01-01,ADV-004,77642.85,13160.46,16.95,12014.92
2026-01-01,ADV-004,102487.61,15280.9,14.91,13657.08
2026-03-01,ADV-004,128200.96,21512.12,16.78,18604.99
2026-04-01,ADV-004,75809.12,15942.66,21.03,14892.9
2026-05-01,ADV-004,102381.02,15305.96,14.95,13083.12
2026-05-01,ADV-004,72363.65,9009.27,12.45,7754.85
2026-01-01,ADV-005,84079.12,15647.12,18.61,14189.56
2026-01-01,ADV-005,96285.63,14009.56,14.55,12022.68
2026-03-01,ADV-005,115495.76,15176.14,13.14,13903.74
2026-04-01,ADV-005,90614.1,12522.87,13.82,11136.53
2026-05-01,ADV-005,83219.21,17284.63,20.77,15206.41
2026-05-01,ADV-005,121930.56,20179.51,16.55,18505.14
2026-01-01,ADV-006,10951.33,2373.15,21.67,2223.96
2026-01-01,ADV-006,10277.13,1423.38,13.85,1316.2
2026-03-01,ADV-006,13885.76,2877.13,20.72,2476.15
2026-04-01,ADV-006,13282.59,1601.88,12.06,1380.29
2026-05-01,ADV-006,10143.33,1701.04,16.77,1563.56
2026-05-01,ADV-006,16177.42,3504.03,21.66,3189.33
2026-01-01,ADV-007,12923.62,2809.59,21.74,2489.5
